Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
62,Costa Rica,0.810,80.3,15.7,8.7,18486,6,61,0.68,0.862,11.6,0.642,33.9,0.521,0.981,13476,27,53.5,45.6,48.1,5.0,80.1,0.4,3.5,0.5,33.5,1,,
62,Malaysia,0.810,76.2,13.7,10.4,27534,-11,63,0.80,0.811,12.1,0.638,..,..,0.972,20825,29,13.4,15.5,50.7,31.9,76.6,2.6,22.2,2.2,30.3,1,,
64,Kuwait,0.806,75.5,14.2,7.3,58590,-51,62,0.46,0.803,22.1,0.497,..,..,0.983,31698,12,8.2,4.6,49.7,4.2,100.0,0.3,3.2,0.1,36.8,1,,
64,Serbia,0.806,76.0,14.7,11.2,17192,8,65,0.38,0.819,7.5,0.724,24.0,0.591,0.977,13990,12,14.7,37.7,47.4,8.8,56.3,0.4,5.8,1.6,41.6,1,,
66,Mauritius,0.804,75.0,15.1,9.5,25266,-10,66,0.88,0.766,13.2,0.639,18.2,0.684,0.976,15870,61,25.7,20.0,45.2,1.3,40.8,0.1,0.9,0.2,37.5,1,,
67,Seychelles,0.796,73.4,14.1,10.0,26903,-15,69,..,0.743,6.7,0.678,29.3,0.598,..,..,53,62.1,21.2,..,0.1,57.1,0.0,0.1,0.0,34.2,2,,
67,Trinidad and Tobago,0.796,73.5,13.0,11.0,26231,-14,67,0.61,0.701,..,..,..,..,1.003,20482,67,30.1,32.9,50.1,1.4,53.2,0.1,1.0,0.2,36.2,2,,
69,Albania,0.795,78.6,14.7,10.1,13998,18,68,0.70,0.836,12.3,0.655,13.2,0.648,0.967,11004,15,19.6,29.5,46.7,2.9,61.2,0.2,2.0,0.4,36.4,2,,
70,Cuba,0.783,78.8,14.3,11.8,8621,45,71,0.49,0.858,7.8,0.728,..,..,0.944,5714,36,51.6,53.2,40.7,11.3,77.1,0.6,7.8,1.8,42.2,2,,
70,Iran (Islamic Republic of),0.783,76.7,14.8,10.3,12447,26,70,1.13,0.792,5.0,0.719,19.7,0.585,0.866,4084,16,40.6,5.9,17.5,82.9,75.4,7.6,57.2,5.3,32.0,2,,
72,Sri Lanka,0.782,77.0,14.1,10.6,12707,23,73,0.75,0.815,12.0,0.657,22.4,0.568,0.955,7433,36,20.9,5.3,35.4,21.3,18.6,1.7,13.9,2.3,34.0,2,,
